Ses.	Dept. & Num.	Type	Sec.	Units	Code	Instructor	Day/Time	Location	Course Title
I	ECON 15A	LEC	A	4.0	62040	Robbins	TuTh 9:00AM-11:50AM	HH 262	PROB & STATS ECON I
I	ECON 15B	LEC	A	4.0	62060	Chernyshoff	 	@ @	PROB &STATS ECON II (On-Line)
I	ECON 17	LEC	A	4.0	62080	McBride	 	@ @	ECON APPR TO RELIG (On-Line)
I	ECON 17	LEC	B	4.0	62090	Diaz Avendano	 	@ @	ECON APPR TO RELIG (On-Line)
I	ECON 20A	LEC	A	4.0	62100	Branch	 	@ @	BASIC ECONOMICS I (On-Line)
I	ECON 20B	LEC	A	4.0	62120	Branch	 	@ @	BASIC ECONOMICS II (On-Line)
I	INTL ST 1	LEC	A	4.0	64010	McCarty	 	@ @	INTRO GLOBAL STUDY (On-Line)
I	INTL ST 11	LEC	A	4.0	64030	Darian-Smith	 	@ @	GLOBAL CULTURES&SOC (On-Line)
I	INTL ST 12	LEC	A	4.0	64050	Willoughby-Herard	 	@ @	GLOBAL IDEOLOGIES (On-Line)
I	INTL ST 17	LEC	A	4.0	64060	Darian-Smith	 	@ @	GLOBAL ENVIRONMENTS (On-Line)
I	LSCI 2	LEC	A	4.0	65020	Mis	 	@ @	DISCOVER LANGUAGE (On-Line)
I	LSCI 3	LEC	A	4.0	65030	Li	MWF 10:00AM-10:50AM	ON LINE	INTRO TO LINGUIS (On-Line)
I	LSCI 20	LEC	A	4.0	65060	Mis	 	@ @	INTRO TO SYNTAX (On-Line)
I	LSCI 43	LEC	A	4.0	65070	Crawford	 	@ @	INTR SYMBOLIC LOGIC (On-Line)
I	LPS 30	LEC	A	4.0	66020	Crawford	 	@ @	INTR SYMBOLIC LOGIC (On-Line)
I	LPS 40	LEC	A	4.0	66040	Weatherall	 	@ @	SCIENTIFIC INQUIRY (On-Line)
I	LPS 91	LEC	A	4.0	66060	O'connor	 	@ @	SEX, RACE & SCIENCE (On-Line)
I	POL SCI 21A	LEC	A	4.0	67010	DeSipio	 	@ @	INTRO AMERICAN GOVT (On-Line)
I	POL SCI 31A	LEC	A	4.0	67030	Bilakovics	 	@ @	INTRO POLITCAL THRY (On-Line)
I	POL SCI 61A	LEC	A	4.0	67060	DeSipio	 	@ @	INTRO RACE&ETHNICTY (On-Line)
I	POL SCI 71A	LEC	A	4.0	67080	Smith	 	@ @	INTRODUCTION TO LAW (On-Line)
I	SOCIOL 1	LEC	A	4.0	69010	Bauman	 	@ @	INTRO TO SOCIOLOGY (On-Line)
I	SOCIOL 10A	LEC	A	4.0	69050	Huffman	 	@ @	PROBABILITY & STATS (On-Line)
I	SOCIOL 31	LEC	A	4.0	69090	Carian	 	@ @	SELF-IDENT &SOCIETY (On-Line)
I	SOCIOL 62	LEC	A	4.0	69100	Turney	 	@ @	FAM & INTIMATE RLTN (On-Line)
I	SOC SCI 1A	LEC	A	4.0	70010	Dewan	 	@ @	PRINCIPLES SOC SCI (On-Line)
I	SOC SCI 3A	LEC	A	4.0	70020	Morgan	 	@ @	COMP RES IN SOC SCI (On-Line)
I	SOC SCI 4A	LEC	A	4.0	70040	McCarty	 	@ @	INTRO GLOBAL STUDY (On-Line)
I	SOC SCI 10B	LEC	A	4.0	70060	Lui	MW 8:00AM-10:50AM	SSL 248	PROB & STAT SOC SCI
I	SOC SCI 12	LEC	A	4.0	70080	Willoughby-Herard	 	@ @	GLOBAL IDEOLOGIES (On-Line)
I	SOC SCI 17	LEC	A	4.0	70090	Darian-Smith	 	@ @	GLOBAL ENVIRONMENTS (On-Line)
I	SOC SCI 78B	LEC	A	4.0	70120	Lee	MW 9:00AM-11:50AM	ON LINE	ASAM COMMUNITIES (On-Line)
I	PUBHLTH 1	LEC	A	4.0	81010	Staff TBA	 	@ @	PRINCIPLES PUB HLTH (On-Line)
I	PUBHLTH 7B	LEC	A	4.0	81040	Staff TBA	TuTh 9:00AM-11:50AM	SST 220B	PUBHLTH STATS II
I	PUBHLTH 10	LEC	A	4.0	81050	Bic	 	@ @	STRESS MANAGEMENT (On-Line)
I	PUBHLTH 60	LEC	A	4.0	81060	Staff TBA	 	@ @	ENV QUALITY&HEALTH (On-Line)
I	UNI STU 85A	LEC	A	4.0	87130	Nemeth	 	@ @	LEADING FROM WITHIN (On-Line)
I	NUR SCI 50	LEC	A	4.0	88010	Richter	 	@ @	NUTRITION (On-Line)
I	PHRMSCI 66	LEC	A	4.0	89010	Schriner	 	@ @	GATEWAY TO DRUGS (On-Line)
